"Node1","Node2","Line"
"Brondesbury Park","Kensal Rise","National Rail"
"Brondesbury","Brondesbury Park","National Rail"
"Brondesbury","West Hampstead","National Rail"
"Buckhurst Hill","Loughton","Central"
"Buckhurst Hill","Woodford","Central"
"Burnt Oak","Colindale","Northern"
"Burnt Oak","Edgware","Northern"
"Caledonian Road & Barnsbury","Camden Road","National Rail"
"Caledonian Road & Barnsbury","Highbury & Islington","National Rail"
"Caledonian Road","Holloway Road","Piccadilly"
"Caledonian Road","King's Cross St. Pancras","Piccadilly"
"Camden Road","Caledonian Road & Barnsbury","National Rail"
"Camden Road","Kentish Town West","National Rail"
"Camden Town","Chalk Farm","Northern"
"Camden Town","Euston","Northern"
"Camden Town","Kentish Town","Northern"
"Camden Town","Mornington Crescent","Northern"
"Canada Water","Bermondsey","Jubilee"
"Canada Water","Canary Wharf","Jubilee"
"Canada Water","Rotherhithe","East London"
"Canada Water","Surrey Quays","East London"
"Canary Wharf","Canada Water","Jubilee"
"Canary Wharf","Heron Quays","Docklands Light Railway"
"Canary Wharf","North Greenwich","Jubilee"
"Canary Wharf","West India Quay","Docklands Light Railway"
"Canning Town","Custom House","National Rail"
"Canning Town","East India","Docklands Light Railway"
"Canning Town","North Greenwich","Jubilee"
"Canning Town","Royal Victoria","Docklands Light Railway"
"Canning Town","West Ham","Jubilee"
"Canning Town","West Ham","National Rail"
"Cannon Street","Mansion House","Circle"
"Cannon Street","Mansion House","District"
"Cannon Street","Monument","Circle"
"Cannon Street","Monument","District"
"Canonbury","Dalston Kingsland","National Rail"
"Canonbury","Highbury & Islington","National Rail"
"Canons Park","Queensbury","Jubilee"
"Canons Park","Stanmore","Jubilee"
"Chalfont & Latimer","Amersham","Metropolitan"
"Chalfont & Latimer","Chesham","Metropolitan"
"Chalfont & Latimer","Chorleywood","Metropolitan"
"Chalk Farm","Belsize Park","Northern"
"Chalk Farm","Camden Town","Northern"
"Chancery Lane","Holborn","Central"
"Chancery Lane","St. Paul's","Central"
"Charing Cross","Embankment","Bakerloo"
"Charing Cross","Embankment","Northern"
"Charing Cross","Leicester Square","Northern"
"Charing Cross","Piccadilly Circus","Bakerloo"
"Chesham","Chalfont & Latimer","Metropolitan"
"Chigwell","Grange Hill","Central"
"Chigwell","Roding Valley","Central"
"Chiswick Park","Acton Town","District"
"Chiswick Park","Acton Town","District"
"Chiswick Park","Turnham Green","District"
"Chorleywood","Chalfont & Latimer","Metropolitan"
"Chorleywood","Rickmansworth","Metropolitan"
"Clapham Common","Clapham North","Northern"
"Clapham Common","Clapham South","Northern"
"Clapham North","Clapham Common","Northern"
"Clapham North","Stockwell","Northern"
"Clapham South","Balham","Northern"
"Clapham South","Clapham Common","Northern"
"Cockfosters","Oakwood","Piccadilly"
"Colindale","Burnt Oak","Northern"
"Colindale","Hendon Central","Northern"
"Colliers Wood","South Wimbledon","Northern"
"Colliers Wood","Tooting Broadway","Northern"
"Covent Garden","Holborn","Piccadilly"
"Covent Garden","Leicester Square","Piccadilly"
"Crossharbour & London Arena","Mudchute","Docklands Light Railway"
"Crossharbour & London Arena","South Quay","Docklands Light Railway"
"Croxley","Moor Park","Metropolitan"
"Croxley","Watford","Metropolitan"
"Custom House","Canning Town","National Rail"
"Custom House","Prince Regent","Docklands Light Railway"
"Custom House","Royal Victoria","Docklands Light Railway"
"Custom House","Silvertown","National Rail"
"Cutty Sark","Greenwich","Docklands Light Railway"
"Cutty Sark","Island Gardens","Docklands Light Railway"
"Cyprus","Beckton Park","Docklands Light Railway"
"Cyprus","Gallions Reach","Docklands Light Railway"
"Dagenham East","Dagenham Heathway","District"
"Dagenham East","Elm Park","District"
"Dagenham Heathway","Becontree","District"
"Dagenham Heathway","Dagenham East","District"
"Dalston Kingsland","Canonbury","National Rail"
"Dalston Kingsland","Hackney Central","National Rail"
"Debden","Loughton","Central"
"Debden","Theydon Bois","Central"
"Deptford Bridge","Elverson Road","Docklands Light Railway"
"Deptford Bridge","Greenwich","Docklands Light Railway"
"Devons Road","All Saints","Docklands Light Railway"
"Devons Road","Bow Church","Docklands Light Railway"
"Dollis Hill","Neasden","Jubilee"
"Dollis Hill","Willesden Green","Jubilee"
"Ealing Broadway","Ealing Common","District"
"Ealing Broadway","West Acton","Central"
"Ealing Common","Acton Town","District"
"Ealing Common","Acton Town","Piccadilly"
"Ealing Common","Ealing Broadway","District"
"Ealing Common","North Ealing","Piccadilly"
"Earl's Court","Barons Court","Piccadilly"
"Earl's Court","Gloucester Road","District"
"Earl's Court","Gloucester Road","Piccadilly"
"Earl's Court","High Street Kensington","District"
"Earl's Court","Kensington (Olympia)","District"
"Earl's Court","West Brompton","District"
"Earl's Court","West Kensington","District"
"East Acton","North Acton","Central"
"East Acton","White City","Central"
"East Finchley","Finchley Central","Northern"
"East Finchley","Highgate","Northern"
"East Ham","Barking","District"
"East Ham","Barking","Hammersmith & City"
"East Ham","Upton Park","District"
"East Ham","Upton Park","Hammersmith & City"
"East India","Blackwall","Docklands Light Railway"
"East India","Canning Town","Docklands Light Railway"
"East Putney","Putney Bridge","District"
"East Putney","Southfields","District"
"Eastcote","Rayners Lane","Metropolitan"
"Eastcote","Rayners Lane","Piccadilly"
"Eastcote","Ruislip Manor","Metropolitan"
"Eastcote","Ruislip Manor","Piccadilly"
"Edgware Road","Baker Street","Circle"
"Edgware Road","Baker Street","Hammersmith & City"
"Edgware Road","Marylebone","Bakerloo"
"Edgware Road","Paddington","Bakerloo"
"Edgware Road","Paddington","Circle"
"Edgware Road","Paddington","District"
"Edgware Road","Paddington","Hammersmith & City"
"Edgware","Burnt Oak","Northern"
"Elephant & Castle","Borough","Northern"
"Elephant & Castle","Kennington","Northern"
"Elephant & Castle","Lambeth North","Bakerloo"
"Elm Park","Dagenham East","District"
"Elm Park","Hornchurch","District"
"Elverson Road","Deptford Bridge","Docklands Light Railway"
"Elverson Road","Lewisham","Docklands Light Railway"
"Embankment","Charing Cross","Bakerloo"
"Embankment","Charing Cross","Northern"
"Embankment","Temple","Circle"
"Embankment","Temple","District"
"Embankment","Waterloo","Bakerloo"
"Embankment","Waterloo","Northern"
"Embankment","Westminster","Circle"
"Embankment","Westminster","District"
"Epping","Theydon Bois","Central"
"Euston Square","Great Portland Street","Circle"
"Euston Square","Great Portland Street","Hammersmith & City"
"Euston Square","Great Portland Street","Metropolitan"
"Euston Square","King's Cross St. Pancras","Circle"
"Euston Square","King's Cross St. Pancras","Hammersmith & City"
"Euston Square","King's Cross St. Pancras","Metropolitan"
"Euston","Camden Town","Northern"
"Euston","King's Cross St. Pancras","Northern"
"Euston","King's Cross St. Pancras","Victoria"
"Euston","Mornington Crescent","Northern"
"Euston","Warren Street","Northern"
"Euston","Warren Street","Victoria"
"Fairlop","Barkingside","Central"
"Fairlop","Hainault","Central"
"Farringdon","Barbican","Circle"
"Farringdon","Barbican","Hammersmith & City"
"Farringdon","Barbican","Metropolitan"
"Farringdon","King's Cross St. Pancras","Circle"
"Farringdon","King's Cross St. Pancras","Hammersmith & City"
"Farringdon","King's Cross St. Pancras","Metropolitan"
"Finchley Central","East Finchley","Northern"
"Finchley Central","Mill Hill East","Northern"
"Finchley Central","West Finchley","Northern"
"Finchley Road & Frognal","Hampstead Heath","National Rail"
"Finchley Road & Frognal","West Hampstead","National Rail"
"Finchley Road","Baker Street","Metropolitan"
"Finchley Road","Swiss Cottage","Jubilee"
"Finchley Road","Wembley Park","Metropolitan"
"Finchley Road","West Hampstead","Jubilee"
"Finsbury Park","Arsenal","Piccadilly"
"Finsbury Park","Highbury & Islington","Victoria"
"Finsbury Park","Manor House","Piccadilly"
"Finsbury Park","Seven Sisters","Victoria"
"Fulham Broadway","Parsons Green","District"
"Fulham Broadway","West Brompton","District"
"Gallions Reach","Beckton","Docklands Light Railway"
"Gallions Reach","Cyprus","Docklands Light Railway"
"Gants Hill","Newbury Park","Central"
"Gants Hill","Redbridge","Central"
"Gloucester Road","Earl's Court","District"
"Gloucester Road","Earl's Court","Piccadilly"
"Gloucester Road","High Street Kensington","Circle"
"Gloucester Road","South Kensington","Circle"
"Gloucester Road","South Kensington","District"
"Gloucester Road","South Kensington","Piccadilly"
"Golders Green","Brent Cross","Northern"
"Golders Green","Hampstead","Northern"
"Goldhawk Road","Hammersmith","Circle"
"Goldhawk Road","Hammersmith","Hammersmith & City"
"Goldhawk Road","Shepherd's Bush Market","Circle"
"Goldhawk Road","Shepherd's Bush Market","Hammersmith & City"
"Goodge Street","Tottenham Court Road","Northern"
"Goodge Street","Warren Street","Northern"
"Gospel Oak","Hampstead Heath","National Rail"
"Gospel Oak","Kentish Town West","National Rail"
"Grange Hill","Chigwell","Central"
"Grange Hill","Hainault","Central"
"Great Portland Street","Baker Street","Circle"
"Great Portland Street","Baker Street","Hammersmith & City"
"Great Portland Street","Baker Street","Metropolitan"
"Great Portland Street","Euston Square","Circle"
"Great Portland Street","Euston Square","Hammersmith & City"
"Great Portland Street","Euston Square","Metropolitan"
"Green Park","Bond Street","Jubilee"
"Green Park","Hyde Park Corner","Piccadilly"
"Green Park","Oxford Circus","Victoria"
"Green Park","Piccadilly Circus","Piccadilly"
"Green Park","Victoria","Victoria"
"Green Park","Westminster","Jubilee"
"Greenford","Northolt","Central"
"Greenford","Perivale","Central"
"Greenwich","Cutty Sark","Docklands Light Railway"
"Greenwich","Deptford Bridge","Docklands Light Railway"
"Gunnersbury","Kew Gardens","District"
"Gunnersbury","Kew Gardens","National Rail"
"Gunnersbury","South Acton","National Rail"
"Gunnersbury","Turnham Green","District"
"Hackney Central","Dalston Kingsland","National Rail"
"Hackney Central","Homerton","National Rail"
"Hackney Wick","Homerton","National Rail"
"Hackney Wick","Stratford","National Rail"
"Hainault","Fairlop","Central"
"Hainault","Grange Hill","Central"
"Hammersmith","Barons Court","District"
"Hammersmith","Barons Court","Piccadilly"
"Hammersmith","Goldhawk Road","Circle"
"Hammersmith","Goldhawk Road","Hammersmith & City"
"Hammersmith","Ravenscourt Park","District"
"Hammersmith","Turnham Green","Piccadilly"
"Hampstead Heath","Finchley Road & Frognal","National Rail"
"Hampstead Heath","Gospel Oak","National Rail"
"Hampstead","Belsize Park","Northern"
"Hampstead","Golders Green","Northern"
"Hanger Lane","North Acton","Central"
"Hanger Lane","Perivale","Central"
"Harlesden","Stonebridge Park","Bakerloo"
"Harlesden","Willesden Junction","Bakerloo"
"Harrow & Wealdstone","Kenton","Bakerloo"
"Harrow on the Hill","North Harrow","Metropolitan"
"Harrow on the Hill","Northwick Park","Metropolitan"
"Harrow on the Hill","West Harrow","Metropolitan"
"Hatton Cross","Heathrow Terminal 4","Piccadilly"
"Hatton Cross","Heathrow Terminals 1, 2, 3","Piccadilly"
"Hatton Cross","Hounslow West","Piccadilly"
"Heathrow Terminal 4","Heathrow Terminals 1, 2, 3","Piccadilly"
"Heathrow Terminal 5","Heathrow Terminals 1, 2, 3","Piccadilly"
"Heathrow Terminals 1, 2, 3","Hatton Cross","Piccadilly"
"Heathrow Terminals 1, 2, 3","Heathrow Terminal 5","Piccadilly"
"Hendon Central","Brent Cross","Northern"
"Hendon Central","Colindale","Northern"
"Heron Quays","Canary Wharf","Docklands Light Railway"
"Heron Quays","South Quay","Docklands Light Railway"
"High Barnet","Totteridge & Whetstone","Northern"
"High Street Kensington","Earl's Court","District"
"High Street Kensington","Gloucester Road","Circle"
"High Street Kensington","Notting Hill Gate","Circle"
"High Street Kensington","Notting Hill Gate","District"
"Highbury & Islington","Caledonian Road & Barnsbury","National Rail"
"Highbury & Islington","Canonbury","National Rail"
"Highbury & Islington","Finsbury Park","Victoria"
"Highbury & Islington","King's Cross St. Pancras","Victoria"
"Highgate","Archway","Northern"
"Highgate","East Finchley","Northern"
"Hillingdon","Ickenham","Metropolitan"
"Hillingdon","Ickenham","Piccadilly"
"Hillingdon","Uxbridge","Metropolitan"
"Hillingdon","Uxbridge","Piccadilly"
"Holborn","Chancery Lane","Central"
"Holborn","Covent Garden","Piccadilly"
"Holborn","Russell Square","Piccadilly"
"Holborn","Tottenham Court Road","Central"
"Holland Park","Notting Hill Gate","Central"
"Holland Park","Shepherd's Bush","Central"
"Holloway Road","Arsenal","Piccadilly"
"Holloway Road","Caledonian Road","Piccadilly"
"Homerton","Hackney Central","National Rail"
"Homerton","Hackney Wick","National Rail"
"Hornchurch","Elm Park","District"
"Hornchurch","Upminster Bridge","District"
"Hounslow Central","Hounslow East","Piccadilly"
"Hounslow Central","Hounslow West","Piccadilly"
"Hounslow East","Hounslow Central","Piccadilly"
"Hounslow East","Osterley","Piccadilly"
"Hounslow West","Hatton Cross","Piccadilly"
"Hounslow West","Hounslow Central","Piccadilly"
"Hyde Park Corner","Green Park","Piccadilly"
"Hyde Park Corner","Knightsbridge","Piccadilly"
"Ickenham","Hillingdon","Metropolitan"
"Ickenham","Hillingdon","Piccadilly"
"Ickenham","Ruislip","Metropolitan"
"Ickenham","Ruislip","Piccadilly"
"Island Gardens","Cutty Sark","Docklands Light Railway"
"Island Gardens","Mudchute","Docklands Light Railway"
"Kennington","Elephant & Castle","Northern"
"Kennington","Oval","Northern"
"Kensal Green","Queen's Park","Bakerloo"
"Kensal Green","Willesden Junction","Bakerloo"
"Kensal Rise","Acton Central","National Rail"
"Kensal Rise","Brondesbury Park","National Rail"
"Kensington (Olympia)","Earl's Court","District"
"Kentish Town West","Camden Road","National Rail"
"Kentish Town West","Gospel Oak","National Rail"
"Kentish Town","Camden Town","Northern"
"Kentish Town","Tufnell Park","Northern"
"Kenton","Harrow & Wealdstone","Bakerloo"
"Kenton","South Kenton","Bakerloo"
"Kew Gardens","Gunnersbury","District"
"Kew Gardens","Gunnersbury","National Rail"
"Kew Gardens","Richmond","District"
"Kew Gardens","Richmond","National Rail"
"Kilburn Park","Maida Vale","Bakerloo"
"Kilburn Park","Queen's Park","Bakerloo"
"Kilburn","West Hampstead","Jubilee"
"Kilburn","Willesden Green","Jubilee"
"King's Cross St. Pancras","Angel","Northern"
"King's Cross St. Pancras","Caledonian Road","Piccadilly"
"King's Cross St. Pancras","Euston Square","Circle"
"King's Cross St. Pancras","Euston Square","Hammersmith & City"
"King's Cross St. Pancras","Euston Square","Metropolitan"
"King's Cross St. Pancras","Euston","Northern"
"King's Cross St. Pancras","Euston","Victoria"
"King's Cross St. Pancras","Farringdon","Circle"
"King's Cross St. Pancras","Farringdon","Hammersmith & City"
"King's Cross St. Pancras","Farringdon","Metropolitan"
"King's Cross St. Pancras","Highbury & Islington","Victoria"
"King's Cross St. Pancras","Russell Square","Piccadilly"
"Kingsbury","Queensbury","Jubilee"
"Kingsbury","Wembley Park","Jubilee"
"Knightsbridge","Hyde Park Corner","Piccadilly"
"Knightsbridge","South Kensington","Piccadilly"
"Ladbroke Grove","Latimer Road","Circle"
"Ladbroke Grove","Latimer Road","Hammersmith & City"
"Ladbroke Grove","Westbourne Park","Circle"
"Ladbroke Grove","Westbourne Park","Hammersmith & City"
"Lambeth North","Elephant & Castle","Bakerloo"
"Lambeth North","Waterloo","Bakerloo"
"Lancaster Gate","Marble Arch","Central"
"Lancaster Gate","Queensway","Central"
"Latimer Road","Ladbroke Grove","Circle"
"Latimer Road","Ladbroke Grove","Hammersmith & City"
"Latimer Road","Wood Lane","Circle"
"Latimer Road","Wood Lane","Hammersmith & City"
"Leicester Square","Charing Cross","Northern"
"Leicester Square","Covent Garden","Piccadilly"
"Leicester Square","Piccadilly Circus","Piccadilly"
"Leicester Square","Tottenham Court Road","Northern"
"Lewisham","Elverson Road","Docklands Light Railway"
"Leyton","Leytonstone","Central"
"Leyton","Stratford","Central"
"Leytonstone","Leyton","Central"
"Leytonstone","Snaresbrook","Central"
"Leytonstone","Wanstead","Central"
"Limehouse","Shadwell","Docklands Light Railway"
"Limehouse","Westferry","Docklands Light Railway"
"Liverpool Street","Aldgate East","Hammersmith & City"
"Liverpool Street","Aldgate","Circle"
"Liverpool Street","Aldgate","Metropolitan"
"Liverpool Street","Bank","Central"
"Liverpool Street","Bethnal Green","Central"
"Liverpool Street","Moorgate","Circle"
"Liverpool Street","Moorgate","Hammersmith & City"
"Liverpool Street","Moorgate","Metropolitan"
"London Bridge","Bank","Northern"
"London Bridge","Bermondsey","Jubilee"
"London Bridge","Borough","Northern"
"London Bridge","Southwark","Jubilee"
"Loughton","Buckhurst Hill","Central"
"Loughton","Debden","Central"
"Maida Vale","Kilburn Park","Bakerloo"
"Maida Vale","Warwick Avenue","Bakerloo"
"Manor House","Finsbury Park","Piccadilly"
"Manor House","Turnpike Lane","Piccadilly"
"Mansion House","Blackfriars","Circle"
"Mansion House","Blackfriars","District"
"Mansion House","Cannon Street","Circle"
"Mansion House","Cannon Street","District"
"Marble Arch","Bond Street","Central"
"Marble Arch","Lancaster Gate","Central"
"Marylebone","Baker Street","Bakerloo"
"Marylebone","Edgware Road","Bakerloo"
"Mile End","Bethnal Green","Central"
"Mile End","Bow Road","District"
"Mile End","Bow Road","Hammersmith & City"
"Mile End","Stepney Green","District"
"Mile End","Stepney Green","Hammersmith & City"
"Mile End","Stratford","Central"
"Mill Hill East","Finchley Central","Northern"
"Monument","Bank","Walk"
"Monument","Cannon Street","Circle"
"Monument","Cannon Street","District"
"Monument","Tower Hill","Circle"
"Monument","Tower Hill","District"
"Moor Park","Croxley","Metropolitan"
"Moor Park","Northwood","Metropolitan"
"Moor Park","Rickmansworth","Metropolitan"
"Moorgate","Bank","Northern"
"Moorgate","Barbican","Circle"
"Moorgate","Barbican","Hammersmith & City"
"Moorgate","Barbican","Metropolitan"
"Moorgate","Liverpool Street","Circle"
"Moorgate","Liverpool Street","Hammersmith & City"
"Moorgate","Liverpool Street","Metropolitan"
"Moorgate","Old Street","Northern"
"Morden","South Wimbledon","Northern"
"Mornington Crescent","Camden Town","Northern"
"Mornington Crescent","Euston","Northern"
"Mudchute","Crossharbour & London Arena","Docklands Light Railway"
"Mudchute","Island Gardens","Docklands Light Railway"
"Neasden","Dollis Hill","Jubilee"
"Neasden","Wembley Park","Jubilee"
"New Cross Gate","Surrey Quays","East London"
"New Cross","Surrey Quays","East London"
"Newbury Park","Barkingside","Central"
"Newbury Park","Gants Hill","Central"
"North Acton","East Acton","Central"
"North Acton","Hanger Lane","Central"
"North Acton","West Acton","Central"
"North Ealing","Ealing Common","Piccadilly"
"North Ealing","Park Royal","Piccadilly"
"North Greenwich","Canary Wharf","Jubilee"
"North Greenwich","Canning Town","Jubilee"
"North Harrow","Harrow on the Hill","Metropolitan"
"North Harrow","Pinner","Metropolitan"
"North Wembley","South Kenton","Bakerloo"
"North Wembley","Wembley Central","Bakerloo"
"North Woolwich","Silvertown","National Rail"
"Northfields","Boston Manor","Piccadilly"
"Northfields","South Ealing","Piccadilly"
"Northolt","Greenford","Central"
"Northolt","South Ruislip","Central"
"Northwick Park","Harrow on the Hill","Metropolitan"
"Northwick Park","Preston Road","Metropolitan"
"Northwood Hills","Northwood","Metropolitan"
"Northwood Hills","Pinner","Metropolitan"
"Northwood","Moor Park","Metropolitan"
"Northwood","Northwood Hills","Metropolitan"
"Notting Hill Gate","Bayswater","Circle"
"Notting Hill Gate","Bayswater","District"
"Notting Hill Gate","High Street Kensington","Circle"
"Notting Hill Gate","High Street Kensington","District"
"Notting Hill Gate","Holland Park","Central"
"Notting Hill Gate","Queensway","Central"
"Oakwood","Cockfosters","Piccadilly"
"Oakwood","Southgate","Piccadilly"
"Old Street","Angel","Northern"
"Old Street","Moorgate","Northern"
"Osterley","Boston Manor","Piccadilly"
"Osterley","Hounslow East","Piccadilly"
"Oval","Kennington","Northern"
"Oval","Stockwell","Northern"
"Oxford Circus","Bond Street","Central"
"Oxford Circus","Green Park","Victoria"
"Oxford Circus","Piccadilly Circus","Bakerloo"
"Oxford Circus","Regent's Park","Bakerloo"
"Oxford Circus","Tottenham Court Road","Central"
"Oxford Circus","Warren Street","Victoria"
"Paddington","Bayswater","Circle"
"Paddington","Bayswater","District"
"Paddington","Edgware Road","Bakerloo"
"Paddington","Edgware Road","Circle"
"Paddington","Edgware Road","District"
"Paddington","Edgware Road","Hammersmith & City"
"Paddington","Royal Oak","Circle"
"Paddington","Royal Oak","Hammersmith & City"
"Paddington","Warwick Avenue","Bakerloo"
"Park Royal","Alperton","Piccadilly"
"Park Royal","North Ealing","Piccadilly"
"Parsons Green","Fulham Broadway","District"
"Parsons Green","Putney Bridge","District"
"Perivale","Greenford","Central"
"Perivale","Hanger Lane","Central"
"Piccadilly Circus","Charing Cross","Bakerloo"
"Piccadilly Circus","Green Park","Piccadilly"
"Piccadilly Circus","Leicester Square","Piccadilly"
"Piccadilly Circus","Oxford Circus","Bakerloo"
"Pimlico","Vauxhall","Victoria"
"Pimlico","Victoria","Victoria"
"Pinner","North Harrow","Metropolitan"
"Pinner","Northwood Hills","Metropolitan"
"Plaistow","Upton Park","District"
"Plaistow","Upton Park","Hammersmith & City"
"Plaistow","West Ham","District"
"Plaistow","West Ham","Hammersmith & City"
"Poplar","All Saints","Docklands Light Railway"
"Poplar","Blackwall","Docklands Light Railway"
"Poplar","West India Quay","Docklands Light Railway"
"Poplar","Westferry","Docklands Light Railway"
"Preston Road","Northwick Park","Metropolitan"
"Preston Road","Wembley Park","Metropolitan"
"Prince Regent","Custom House","Docklands Light Railway"
"Prince Regent","Royal Albert","Docklands Light Railway"
"Pudding Mill Lane","Bow Church","Docklands Light Railway"
"Pudding Mill Lane","Stratford","Docklands Light Railway"
"Putney Bridge","East Putney","District"
"Putney Bridge","Parsons Green","District"
"Queen's Park","Kensal Green","Bakerloo"
"Queen's Park","Kilburn Park","Bakerloo"
"Queensbury","Canons Park","Jubilee"
"Queensbury","Kingsbury","Jubilee"
"Queensway","Lancaster Gate","Central"
"Queensway","Notting Hill Gate","Central"
"Ravenscourt Park","Hammersmith","District"
"Ravenscourt Park","Stamford Brook","District"
"Rayners Lane","Eastcote","Metropolitan"
"Rayners Lane","Eastcote","Piccadilly"
"Rayners Lane","South Harrow","Piccadilly"
"Rayners Lane","West Harrow","Metropolitan"
"Redbridge","Gants Hill","Central"
"Redbridge","Wanstead","Central"
"Regent's Park","Baker Street","Bakerloo"
"Regent's Park","Oxford Circus","Bakerloo"
"Richmond","Kew Gardens","District"
"Richmond","Kew Gardens","National Rail"
"Rickmansworth","Chorleywood","Metropolitan"
"Rickmansworth","Moor Park","Metropolitan"
"Roding Valley","Chigwell","Central"
"Roding Valley","Woodford","Central"
"Rotherhithe","Canada Water","East London"
"Rotherhithe","Wapping","East London"
"Royal Albert","Beckton Park","Docklands Light Railway"
"Royal Albert","Prince Regent","Docklands Light Railway"
"Royal Oak","Paddington","Circle"
"Royal Oak","Paddington","Hammersmith & City"
"Royal Oak","Westbourne Park","Circle"
"Royal Oak","Westbourne Park","Hammersmith & City"
"Royal Victoria","Canning Town","Docklands Light Railway"
"Royal Victoria","Custom House","Docklands Light Railway"
"Ruislip Gardens","South Ruislip","Central"
"Ruislip Gardens","West Ruislip","Central"
"Ruislip Manor","Eastcote","Metropolitan"
"Ruislip Manor","Eastcote","Piccadilly"
"Ruislip Manor","Ruislip","Metropolitan"
"Ruislip Manor","Ruislip","Piccadilly"
"Ruislip","Ickenham","Metropolitan"
"Ruislip","Ickenham","Piccadilly"
"Ruislip","Ruislip Manor","Metropolitan"
